"covariate1"	"covariate2"	"covariate3"	"covariate4"	"covariate5"	"covariate6"	"covariate7"	"covariate8"	"covariate9"	"covariate10"
"taxa1"	1	0	0	0	0	0	0	0	0	0
"taxa2"	-0.875	0	0	0.75	0	0	0	0	0	0
"taxa3"	0.5	0	0	-0.875	0	0	0.5	0	0	0
"taxa4"	-0.625	0	0	0.5	0	0	1	0	0	0
"taxa5"	0.75	0	0.75	-0.625	0	0	0.75	0	0	0
"taxa6"	0	0	1	1	0	0.5	-0.875	0	0	0
"taxa7"	0	0	-0.875	0	0	-0.625	-0.625	0	0.5	0
"taxa8"	0	-0.875	-0.625	0	0	1	0	0	1	0
"taxa9"	0	0.5	0.5	0	-0.875	0.75	0	0	0.75	0
"taxa10"	0	1	0	0	1	-0.875	0	0	-0.625	0
"taxa11"	0	-0.625	0	0	-0.625	0	0	0	-0.875	0
"taxa12"	0	0.75	0	0	0.5	0	0	0	0	0
"taxa13"	0	0	0	0	0.75	0	0	0	0	0
"taxa14"	0	0	0	0	0	0	0	0	0	0
"taxa15"	0	0	0	0	0	0	0	0	0	0
"taxa16"	0	0	0	0	0	0	0	0	0	0
"taxa17"	0	0	0	0	0	0	0	0	0	0
"taxa18"	0	0	0	0	0	0	0	0	0	0
"taxa19"	0	0	0	0	0	0	0	0	0	0
"taxa20"	0	0	0	0	0	0	0	0	0	0
"taxa21"	0	0	0	0	0	0	0	0	0	0
"taxa22"	0	0	0	0	0	0	0	0	0	0
"taxa23"	0	0	0	0	0	0	0	0	0	0
"taxa24"	0	0	0	0	0	0	0	0	0	0
"taxa25"	0	0	0	0	0	0	0	0	0	0
"taxa26"	0	0	0	0	0	0	0	0	0	0
"taxa27"	0	0	0	0	0	0	0	0	0	0
"taxa28"	0	0	0	0	0	0	0	0	0	0
"taxa29"	0	0	0	0	0	0	0	0	0	0
"taxa30"	0	0	0	0	0	0	0	0	0	0
"taxa31"	0	0	0	0	0	0	0	0	0	0
"taxa32"	0	0	0	0	0	0	0	0	0	0
"taxa33"	0	0	0	0	0	0	0	0	0	0
"taxa34"	0	0	0	0	0	0	0	0	0	0
"taxa35"	0	0	0	0	0	0	0	0	0	0
"taxa36"	0	0	0	0	0	0	0	0	0	0
"taxa37"	0	0	0	0	0	0	0	0	0	0
"taxa38"	0	0	0	0	0	0	0	0	0	0
"taxa39"	0	0	0	0	0	0	0	0	0	0
"taxa40"	0	0	0	0	0	0	0	0	0	0
"taxa41"	0	0	0	0	0	0	0	0	0	0
"taxa42"	0	0	0	0	0	0	0	0	0	0
"taxa43"	0	0	0	0	0	0	0	0	0	0
"taxa44"	0	0	0	0	0	0	0	0	0	0
"taxa45"	0	0	0	0	0	0	0	0	0	0
"taxa46"	0	0	0	0	0	0	0	0	0	0
"taxa47"	0	0	0	0	0	0	0	0	0	0
"taxa48"	0	0	0	0	0	0	0	0	0	0
"taxa49"	0	0	0	0	0	0	0	0	0	0
"taxa50"	0	0	0	0	0	0	0	0	0	0
"taxa51"	0	0	0	0	0	0	0	0	0	0
"taxa52"	0	0	0	0	0	0	0	0	0	0
"taxa53"	0	0	0	0	0	0	0	0	0	0
"taxa54"	0	0	0	0	0	0	0	0	0	0
"taxa55"	0	0	0	0	0	0	0	0	0	0
"taxa56"	0	0	0	0	0	0	0	0	0	0
"taxa57"	0	0	0	0	0	0	0	0	0	0
"taxa58"	0	0	0	0	0	0	0	0	0	0
"taxa59"	0	0	0	0	0	0	0	0	0	0
"taxa60"	0	0	0	0	0	0	0	0	0	0
"taxa61"	0	0	0	0	0	0	0	0	0	0
"taxa62"	0	0	0	0	0	0	0	0	0	0
"taxa63"	0	0	0	0	0	0	0	0	0	0
"taxa64"	0	0	0	0	0	0	0	0	0	0
"taxa65"	0	0	0	0	0	0	0	0	0	0
"taxa66"	0	0	0	0	0	0	0	0	0	0
"taxa67"	0	0	0	0	0	0	0	0	0	0
"taxa68"	0	0	0	0	0	0	0	0	0	0
"taxa69"	0	0	0	0	0	0	0	0	0	0
"taxa70"	0	0	0	0	0	0	0	0	0	0
"taxa71"	0	0	0	0	0	0	0	0	0	0
"taxa72"	0	0	0	0	0	0	0	0	0	0
"taxa73"	0	0	0	0	0	0	0	0	0	0
"taxa74"	0	0	0	0	0	0	0	0	0	0
"taxa75"	0	0	0	0	0	0	0	0	0	0
"taxa76"	0	0	0	0	0	0	0	0	0	0
"taxa77"	0	0	0	0	0	0	0	0	0	0
"taxa78"	0	0	0	0	0	0	0	0	0	0
"taxa79"	0	0	0	0	0	0	0	0	0	0
"taxa80"	0	0	0	0	0	0	0	0	0	0
